PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME,PPG
1629028,2025-26,0,1610612747,LAL,27.0,34,34,996,219,321,0.682,0,0,0.0,37,60,0.617,88,210,298,30,25,34,56,83,475,Deandre Ayton,13.970588235294118
203507,2025-26,0,1610612749,MIL,31.0,26,26,761,288,444,0.649,14,36,0.389,166,255,0.651,76,176,252,147,23,21,87,71,756,Giannis Antetokounmpo,29.076923076923077
1630173,2025-26,0,1610612758,SAC,26.0,33,19,668,97,197,0.492,11,35,0.314,30,59,0.508,58,116,174,38,28,17,17,57,235,Precious Achiuwa,7.121212121212121
1629638,2025-26,0,1610612737,ATL,27.0,40,33,1318,288,641,0.449,121,321,0.377,131,152,0.862,24,119,143,131,43,23,81,85,828,Nickeil Alexander-Walker,20.7
1628960,2025-26,0,1610612756,PHX,30.0,23,18,678,122,290,0.421,73,191,0.382,43,52,0.827,14,52,66,85,38,6,41,53,360,Grayson Allen,15.652173913043478
1641725,2025-26,0,1610612740,NOP,22.0,5,0,42,6,9,0.667,2,3,0.667,0,0,0.0,0,4,4,5,1,1,1,4,14,Trey Alexander,2.8
1628386,2025-26,0,1610612739,CLE,27.0,29,29,767,157,266,0.59,1,7,0.143,81,107,0.757,62,169,231,63,30,21,45,53,396,Jarrett Allen,13.655172413793103
1630631,2025-26,0,1610612740,NOP,27.0,35,0,776,101,238,0.424,56,155,0.361,19,23,0.826,13,85,98,114,35,4,45,72,277,Jose Alvarado,7.914285714285715
1630583,2025-26,0,1610612763,MEM,25.0,39,8,1091,208,438,0.475,63,187,0.337,67,98,0.684,61,203,264,120,35,29,52,61,546,Santi Aldama,14.0
1630166,2025-26,0,1610612757,POR,25.0,40,40,1414,317,678,0.468,92,259,0.355,317,396,0.801,40,243,283,276,35,24,156,111,1043,Deni Avdija,26.075
1628963,2025-26,0,1610612764,WAS,26.0,32,7,613,128,205,0.624,7,16,0.438,53,72,0.736,77,98,175,48,17,23,37,68,316,Marvin Bagley III,9.875
203937,2025-26,0,1610612762,UTA,32.0,12,0,241,36,74,0.486,1,2,0.5,18,24,0.75,13,29,42,33,18,5,12,27,91,Kyle Anderson,7.583333333333333
1628389,2025-26,0,1610612748,MIA,28.0,32,32,986,198,434,0.456,42,126,0.333,100,132,0.758,54,256,310,85,31,26,59,56,538,Bam Adebayo,16.8125
203648,2025-26,0,1610612749,MIL,33.0,12,0,36,7,12,0.583,0,0,0.0,6,9,0.667,3,3,6,0,5,3,2,7,20,Thanasis Antetokounmpo,1.6666666666666667
203500,2025-26,0,1610612745,HOU,32.0,30,10,678,65,130,0.5,0,0,0.0,46,79,0.582,134,121,255,46,22,18,34,54,176,Steven Adams,5.866666666666666
1630175,2025-26,0,1610612749,MIL,25.0,28,0,413,76,178,0.427,15,54,0.278,13,22,0.591,12,59,71,102,18,8,52,58,180,Cole Anthony,6.428571428571429
1628384,2025-26,0,1610612752,NYK,28.0,29,29,946,155,338,0.459,60,165,0.364,82,100,0.82,40,121,161,61,50,20,59,75,452,OG Anunoby,15.586206896551724
1630534,2025-26,0,1610612761,TOR,25.0,32,11,490,54,127,0.425,7,43,0.163,18,21,0.857,24,53,77,25,14,7,11,58,133,Ochai Agbaji,4.15625
1642846,2025-26,0,1610612762,UTA,19.0,32,21,740,126,288,0.438,45,129,0.349,20,30,0.667,45,57,102,48,23,12,37,76,317,Ace Bailey,9.90625
